PHOTID,CLUSTERZ,UMINB,UMINV,VMINJ,INDIVZ,UMINB,U_V,V_J,"source(1=GOGREEN,2=GCLASS,3=SPT,4=FORS2,5=NED)",quality,GOGREENSPECID
85,1.32,0,0,0,-1,0,0,0,0,0,0
86,1.32,0,0,0,-1,0,0,0,0,0,0
87,1.32,0,0,0,-1,0,0,0,0,0,0
88,1.32,0,0,0,-1,0,0,0,0,0,0
89,1.32,0,0,0,-1,0,0,0,0,0,0
90,1.32,0,0,0,-1,0,0,0,0,0,0
91,1.32,0,0,0,-1,0,0,0,0,0,0
92,1.32,0,0,0,-1,0,0,0,0,0,0
93,1.32,0,0,0,-1,0,0,0,0,0,0
94,1.32,0,0,0,-1,0,0,0,0,0,0
95,1.32,0,0,0,-1,0,0,0,0,0,0
96,1.32,0,0,0,-1,0,0,0,0,0,0
97,1.32,0,0,0,-1,0,0,0,0,0,0
98,1.32,0,0,0,-1,0,0,0,0,0,0
99,1.32,0,0,0,-1,0,0,0,0,0,0
100,1.32,0,0,0,-1,0,0,0,0,0,0
101,1.32,0,0,0,-1,0,0,0,0,0,0
102,1.32,0,0,0,-1,0,0,0,0,0,0
103,1.32,0,0,0,-1,0,0,0,0,0,0
104,1.32,0,0,0,-1,0,0,0,0,0,0
105,1.32,0,0,0,-1,0,0,0,0,0,0
106,1.32,0,0,0,-1,0,0,0,0,0,0
107,1.32,0,0,0,-1,0,0,0,0,0,0
108,1.32,0,0,0,-1,0,0,0,0,0,0
109,1.32,0,0,0,-1,0,0,0,0,0,0
110,1.32,0,0,0,-1,0,0,0,0,0,0
111,1.32,0,0,0,-1,0,0,0,0,0,0
112,1.32,0,0,0,-1,0,0,0,0,0,0
113,1.32,0,0,0,-1,0,0,0,0,0,0
114,1.32,0,0,0,-1,0,0,0,0,0,0
115,1.32,0,0,0,-1,0,0,0,0,0,0
116,1.32,0,0,0,-1,0,0,0,0,0,0
117,1.32,0,0,0,-1,0,0,0,0,0,0
118,1.32,0,0,0,-1,0,0,0,0,0,0
119,1.32,0,0,0,-1,0,0,0,0,0,0
120,1.32,0,0,0,-1,0,0,0,0,0,0
121,1.32,0,0,0,-1,0,0,0,0,0,0
122,1.32,0,0,0,-1,0,0,0,0,0,0
123,1.32,0,0,0,-1,0,0,0,0,0,0
124,1.32,0,0,0,-1,0,0,0,0,0,0
125,1.32,0,0,0,-1,0,0,0,0,0,0
126,1.32,0,0,0,-1,0,0,0,0,0,0
127,1.32,0,0,0,-1,0,0,0,0,0,0
128,1.32,0,0,0,-1,0,0,0,0,0,0
129,1.32,0,0,0,-1,0,0,0,0,0,0
130,1.32,0,0,0,-1,0,0,0,0,0,0
131,1.32,0,0,0,-1,0,0,0,0,0,0
132,1.32,0,0,0,-1,0,0,0,0,0,0
133,1.32,0,0,0,-1,0,0,0,0,0,0
